0 giờ 2 phút	lý tuấn kiệt	0-gio-2-phut-ly-tuan-kiet
0 giờ 2 phút (remix 2)	dj silly fox lý tuấn kiệt	0-gio-2-phut-remix-2-ly-tuan-kiet-dj-silly-fox
0 giờ 2 phút (remix)	dj minh lý lý tuấn kiệt	0-gio-2-phut-remix-ly-tuan-kiet-dj-minh-ly
0 giờ rồi	khang chấn thi đông đào	0-gio-roi-khang-chan-thi-dong-dao
0:00 (không giờ) (live)	phạm trần phương	0-00-khong-gio-live-pham-tran-phuong
0911106221	tín taro	0911106221-tin-taro
1 2 3 chia đôi lối về (remix)	quang hà	1-2-3-chia-doi-loi-ve-remix-quang-ha
1 2 3 chia tay	minh hằng	1-2-3-chia-tay-minh-hang
1 2 3 ngôi sao	sỹ luân	1-2-3-ngoi-sao-sy-luan
1 2 3 nụ cười	phạm nhật huy sơn ca	1-2-3-nu-cuoi-pham-nhat-huy-son-ca
1 2 3 ước	yuki huy nam	1-2-3-uoc-yuki-huy-nam
1 bờ môi 2 lời nói (remix)	hồ quang hiếu	1-bo-moi-2-loi-noi-remix-ho-quang-hieu
1 năm sau	đại nhân	1-nam-sau-dai-nhan
1 ngày mùa đông của tháng 12	mceeblue đỗ phú quí	1-ngay-mua-dong-cua-thang-12-do-phu-qui-mceeblue
1 phần của anh	daddy lee ruzz cao	1-phan-cua-anh-ruzz-cao-daddy-lee
1 phút (cover)	long hoàng	1-phut-cover-long-hoang
1, 2, 3	ngô thanh vân	1-2-3-ngo-thanh-van
1,2,3 chia đôi lối về	quang hà	1-2-3-chia-doi-loi-ve-quang-ha
1:53 am	spyder young h	1-53-am-spyder-young-h
1+1 (live)	lê thiện hiếu	1-1-live-le-thien-hieu
1+1 (r&b version)	lê thiện hiếu	1-1-r-b-version-le-thien-hieu
1+1=2	từ khánh phong	1-1-2-tu-khanh-phong
10 năm chuyện tình	mai quốc huy	10-nam-chuyen-tinh-mai-quoc-huy
10 năm đợi chờ	mai khen duy	10-nam-doi-cho-mai-khen-duy
10 năm tình cũ	elvis phương	10-nam-tinh-cu-elvis-phuong
10 năm xa em	quách sỹ phú	10-nam-xa-em-quach-sy-phu
10 ngày rồi yêu	lee7 lynk lee	10-ngay-roi-yeu-lee7-lynk-lee
100 dặm	lk	100-dam-lk
100 độ yêu	nhật kim anh	100-do-yeu-nhat-kim-anh
100% yêu em	noo phước thịnh	100-yeu-em-noo-phuoc-thinh
1000 bước anh yêu em	quang hà	1000-buoc-anh-yeu-em-quang-ha
1000 con hạc giấy part 1	kenlly tk yunjboo	1000-con-hac-giay-part-1-kenlly-tk-yunjboo
1000 con hạt giấy	kenlly tk lik'pi yunjboo	1000-con-hat-giay-yunjboo-kenlly-tk-lik-pi
1000 con hạt giấy part 2	kenlly tk lik'pi yunjboo	1000-con-hat-giay-part-2-kenlly-tk-yunjboo-lik-pi
1000 điều ước	trang ngọc lam	1000-dieu-uoc-trang-ngoc-lam
1000 lời hứa nhân gian	đông duy	1000-loi-hua-nhan-gian-dong-duy
1000 lời yêu	nhật tinh anh	1000-loi-yeu-nhat-tinh-anh
1000 lời yêu ( remix )	nhật tinh anh	1000-loi-yeu-remix-nhat-tinh-anh
1000 lý do	trí hải	1000-ly-do-tri-hai
1000 lý do anh đặt ra	quang hà	1000-ly-do-anh-dat-ra-quang-ha
1000 lý do anh đặt ra	quang hà sơn ca	1000-ly-do-anh-dat-ra-son-ca-quang-ha
1000 lý do anh đặt ra	sơn ca	1000-ly-do-anh-dat-ra-son-ca
1000 ngày yêu	thiều bảo trang	1000-ngay-yeu-thieu-bao-trang
1000 ngôi sao giấy	elbi	1000-ngoi-sao-giay-elbi
1001 đêm	duy thanh	1001-dem-duy-thanh-hoi-am-nhac
11 p.m	daeron hiderway huy vạc	11-p-m-hiderway-daeron-huy-vac
11:11 (vietnamese cover)	the sheep	11-11-vietnamese-cover-the-sheep
119 (sg prider remix)	sg prider	119-sg-prider-remix-sg-prider
11h11	namkun thái đinh	11h11-thai-dinh-namkun
12 (december)	hoàng tôn mr. a	12-december-mr-a-hoang-ton
12 câu nói ấm áp nhất	quang vinh	12-cau-noi-am-ap-nhat-quang-vinh
12 con giáp	duy uyên	12-con-giap-duy-uyen
12 con giáp	mắt ngọc	12-con-giap-mat-ngoc
12 giờ	hà anh tuấn	12-gio-ha-anh-tuan
12 giờ	minh trí	12-gio-minh-tri
